,Purchase_x,Occupation,Marital_Status,Gender_F,Age_0-17,Age_18-25,Age_26-35,Age_36-45,Age_46-50,Age_51-55,Age_55+,City_Category_A,City_Category_B,City_Category_C,Stay_In_Current_City_Years_0,Stay_In_Current_City_Years_1,Stay_In_Current_City_Years_2,Stay_In_Current_City_Years_3,Stay_In_Current_City_Years_4+
6098,0,17,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
6157,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
6209,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
6231,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
6250,0,10,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
6273,0,14,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
6310,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
6343,0,9,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
6356,1,13,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
6493,0,7,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
6516,1,4,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
6739,1,17,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
6853,0,17,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
6860,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
6915,0,16,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
6958,0,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
7040,0,7,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
7053,0,10,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
7117,0,17,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
7158,1,3,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
7223,0,19,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
7309,0,7,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
7374,0,12,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
7402,0,12,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
7442,0,11,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
7472,0,18,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
7536,0,12,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
7550,0,15,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
7593,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
7633,0,15,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
7687,0,16,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
7716,0,12,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
7751,0,2,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
7802,0,17,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
7857,2,17,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
8139,1,17,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
8257,0,10,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
8313,0,11,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
8345,0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
8386,0,4,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
8412,3,9,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
8764,0,7,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
8778,0,14,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
8814,0,9,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
8843,1,3,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
8943,0,6,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
8955,1,11,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
9039,1,17,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
9118,1,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
9270,0,17,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
9315,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
9407,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
9508,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
9546,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
9773,1,6,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
9897,0,20,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
9933,1,20,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
10069,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
10101,0,13,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
10114,0,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
10147,0,3,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
10183,0,17,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
10205,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
10234,2,20,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
10472,1,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
10567,3,17,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
10905,3,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
11238,1,7,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
11372,2,20,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
11655,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
11672,0,10,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
11686,0,20,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
11720,0,12,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
11773,0,7,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
11849,2,16,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
12066,0,7,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
12080,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
12103,0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
12112,1,16,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
12296,0,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
12351,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
12622,0,13,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
12640,0,16,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
12697,1,4,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
12913,0,11,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
12941,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
12954,2,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
13266,0,11,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
13308,0,17,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
13323,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
13338,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
13652,0,16,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
13707,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
13877,0,3,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
13916,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
13946,0,17,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
14012,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
14078,0,12,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
14108,1,17,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
14277,0,4,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
14331,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
14395,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
14447,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
14478,0,5,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
14536,2,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
14779,0,16,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
14820,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
14839,0,17,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
14919,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
14935,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
15219,1,15,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
15355,0,10,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
15390,4,12,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
15856,0,9,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
15875,0,14,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
15891,1,12,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
16098,1,4,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
16304,0,4,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
16318,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
16369,3,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
16748,0,4,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
16813,2,7,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
17059,0,12,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
17143,0,17,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
17158,0,12,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
17171,1,17,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
17279,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
17292,0,10,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
17349,0,17,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
17370,0,16,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
17437,0,4,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
17446,0,20,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
17539,0,14,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
17555,2,13,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
17984,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
17997,0,14,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
18046,0,4,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
18067,0,12,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
18123,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
18141,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
18179,1,17,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
18309,2,7,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
18601,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
18611,0,20,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
18628,0,15,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
18649,0,10,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
18763,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
18862,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
18916,0,20,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
18970,0,20,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
18998,0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
19018,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
19286,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
19318,0,6,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
19406,1,7,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
19545,0,19,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
19583,0,17,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
19668,0,20,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
19695,1,4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
19860,0,16,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
19874,0,7,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
19924,2,16,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
20359,0,4,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
20373,0,17,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
20394,0,17,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
20411,0,14,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
20473,0,16,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
20484,0,17,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
20524,0,12,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
20552,0,11,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
20580,0,17,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
20592,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
20722,0,16,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
20777,0,18,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
20811,0,7,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
20886,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
20966,1,19,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
21055,1,20,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
21272,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
21334,0,7,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
21382,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
21656,0,7,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
21708,0,11,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
21739,0,12,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
21816,1,12,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
21959,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
21975,0,14,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
22050,1,4,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
22238,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
22517,1,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
22633,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
22711,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
22763,0,16,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
22781,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
22796,0,18,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
22909,0,14,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
22935,0,7,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
22961,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
23026,0,17,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
23040,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
23057,2,12,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
23332,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
23401,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
23426,0,13,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
23490,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
23526,0,20,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
23543,0,12,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
23598,0,7,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
23621,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
23796,0,9,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
23814,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
23918,0,5,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
23975,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
24022,0,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
24036,0,12,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
24100,1,7,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
24254,1,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
24457,3,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
24911,0,7,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
25035,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
25048,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
25141,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
25253,1,16,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
25366,2,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
25688,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
25752,0,4,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
25873,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
25884,0,2,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
25914,0,4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
25927,1,9,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
26100,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
26112,0,13,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
26151,0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
26164,0,13,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
26177,3,6,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
26597,0,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
26605,1,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
26740,0,17,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
26757,0,12,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
26816,0,17,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
26863,0,3,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
26888,1,11,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
27106,1,18,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
27237,0,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
27269,2,7,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
27715,0,7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
27756,3,7,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
28095,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
28136,0,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
28272,0,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
28311,0,18,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
28406,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
28463,1,19,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
28562,1,7,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
